0,1,2,3,4,5,6,7,8,9,10,11
SKI-MY24-Pricelist-Spring-Media-FI,,,,,,,,,,,
,,S U O S I T U S H I N N A S T O,,,,,,,,,
,,M A L L I V U O S I   2 0 2 6   /   S U O M I,,,,,,,,,
,2025-02-19,,,,,,,,,*,KEVÄTENNAKKOMALLI
,Tuote-,,,,,,,,,,"Suositushinta,"
,,Malli,Paketti,Moottori,Telamatto,,Käynnistin,Mittaristo,Kevätoptiot,Väri,
,nro,,,,,,,,,,sis ALV:n
,Mid-sized,,,,,,,,,,
,,,,,120in,,,,,,
,BPTB,MXZ,Neo+,600 EFI - 55 HP,,1.25in 32mm RipSaw,Electric,4.5 in. Digital Display,,Neo Yellow / Black,"10 100,00 €"
,,,,,3050mm,,,,,,
,,,,,146in,,,,,Neo Yellow / Catalyst,
,TWTB,Summit,Neo,600 EFI - 55 HP,,1.6in 41mm Cobra Flex,Electric,4.5 in. Digital Display,,,"10 590,00 €"
,,,,,3700mm,,,,,Grey,
,,,,,146in,,,,,,
,TXTC,Summit,Neo+,600 EFI - 85 HP,,1.75in 44mm Hurricane Flex,Electric,4.5 in. Digital Display,,Neo Yellow / Black,"11 790,00 €"
,,,,,3700mm,,,,,,
,Trail,,,,,,,,,,
,,Grand,,,137in,,,,,,
,ETTB,,Sport,600 ACE,,1.25 in 32mm Silent Track III,Electric,4.5 in. Digital Display,,Neo Yellow,"14 000,00 €"
,,Touring,,,3500mm,,,,,,
,,,,,129in,,,,,,
,UCTA,MXZ,Sport,600 EFI - 85 HP,,1.25in 32mm RipSaw,Electric,4.5 in. Digital Display,,Neo Yellow,"12 430,00 €"
,,,,,3300mm,,,,,,
,,,,,129in,,,,,,
,MZTD,MXZ,X-RS,600R E-TEC,,1.5in 38mm Ice Ripper XT,Electric,7.2 in. Digital Display,,Mineral Blue,"19 220,00 €"
,,,,,3300mm,,,,,,
,,,,,137in,,,10.25 in. Color,,,
,MYTN,MXZ,X-RS,850 E-TEC,,1.5in 38mm Ice Ripper XT,Electric,,,Mineral Blue,"21 820,00 €"
,,,,,3500mm,,,Touchscreen Display,,,
,,,,,137in,,,10.25 in. Color,,,
x,MVTL,MXZ,X-RS,850 E-TEC,,1.5in 38mm Ice Ripper XT,Electric,,Smart-Shox,Mineral Blue,"23 670,00 €"
,,,,,3500mm,,,Touchscreen Display,,,
,,,X-RS with,,137in,,,,,,
,UCTH,MXZ,,600R E-TEC,,1.6in 41mm Cobra,Manual,7.2 in. Digital Display,,Mineral Blue,"18 620,00 €"
,,,Competition Pkg,,3500mm,,,,,,
,,,X-RS with,850 E-TEC Turbo R,137in,,,10.25 in. Color,,,
,UCTF,MXZ,,,,1.25in 32mm RipSaw II 2Ply,SHOT,,,Mineral Blue,"25 120,00 €"
,,,Competition Pkg,with WIS,3500mm,,,Touchscreen Display,,,
,,,,,137in,,,,,,
,BMTB,MXZ,RS,600RS E-TEC,,1.75in 44mm Racing,Manual,Compact digital,,Neo Yellow / Black,"19 120,00 €"
,,,,,3500mm,,,,,,
,,,,,137in,,,,,,
,MBTB,Renegade,Adrenaline,900 ACE,,1.25in 32mm RipSaw,Electric,4.5 in. Digital Display,,Black,"15 530,00 €"
,,,,,3500mm,,,,,,
,,,,,137in,,,,,,
,MCTB,Renegade,Sport,600 ACE,,1.25in 32mm RipSaw,Electric,4.5 in. Digital Display,,Neo Yellow,"12 680,00 €"
,,,,,3500mm,,,,,,
,,,,,137in,,,10.25 in. Color,,,
,DATK,Renegade,X-RS,900 ACE Turbo R,,1.5in 38mm Ice Ripper XT,Electric,,,Black,"22 800,00 €"
,,,,,3500mm,,,Touchscreen Display,,,
,,,,,137in,,,10.25 in. Color,,,
x,DATV,Renegade,X-RS,900 ACE Turbo R,,1.5in 38mm Ice Ripper XT,Electric,,Smart-Shox,Mineral Blue,"25 200,00 €"
,,,,,3500mm,,,Touchscreen Display,,,
